sample_id,document_id,unit_id,arm,metric_name,metric_value,notes
sach-bai-tap-toan-12-tap-2-canh-dieu_raw_s1_passthrough,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,raw_s1_passthrough,precision,1.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_raw_s1_passthrough,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,raw_s1_passthrough,recall,0.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_raw_s1_passthrough,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,raw_s1_passthrough,f1,0.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_raw_s1_passthrough,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,raw_s1_passthrough,math_preservation,1.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_raw_s1_passthrough,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,raw_s1_passthrough,answer_attachment,1.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_raw_s1_passthrough,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,raw_s1_passthrough,solution_attachment,1.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_raw_s1_passthrough,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,raw_s1_passthrough,idempotence,1.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_raw_s1_passthrough,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,raw_s1_passthrough,runtime,5.999972927384079e-07,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_raw_s1_passthrough,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,raw_s1_passthrough,n_chunks,1.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_normalization_only,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,normalization_only,precision,1.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_normalization_only,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,normalization_only,recall,0.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_normalization_only,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,normalization_only,f1,0.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_normalization_only,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,normalization_only,math_preservation,0.0006282985674792662,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_normalization_only,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,normalization_only,answer_attachment,1.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_normalization_only,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,normalization_only,solution_attachment,1.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_normalization_only,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,normalization_only,idempotence,1.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_normalization_only,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,normalization_only,runtime,0.07958070000313455,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_normalization_only,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,normalization_only,n_chunks,1.0,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_chunking_only,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,chunking_only,precision,0.28478731074260993,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_chunking_only,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,chunking_only,recall,0.9564164648910412,n_blocks=1949
sach-bai-tap-toan-12-tap-2-canh-dieu_chunking_only,sach-bai-tap-toan-12-tap-2-canh-dieu,document_level,chunking_only,f1,0.43888888888888883,n_blocks=1949
